core,cells,area_mm2,density_per_mm2,mean_area,median_area,p90_area
1,9461,1.5684,6032.3,171.7,152.0,280.0
2,8680,1.4433,6014.0,172.8,149.0,287.0
3,19060,1.6765,11368.9,115.5,109.0,168.0
4,7317,1.5211,4810.3,205.3,172.0,350.0
5,8158,1.5234,5355.1,173.4,143.0,304.0
6,7373,1.5804,4665.3,185.1,137.0,345.0
7,21800,2.5568,8526.3,140.0,124.0,228.0
