slide,total,core1,core2,core3,core4,core5,core6,core7,html_local,release_url
1-path,82032,9873,9793,19458,7971,8893,7867,18177,results_1path_analysis/1path_stardist_analysis.html,https://github.com/rf2960/stardist-nuclear-segmentation/releases/download/viewer-v1/1path_stardist_nuclear_viewer.html
Jiankang,62599,8515,7233,13610,6642,7429,6331,12839,results_jiankang_analysis/jiankang_stardist_analysis.html,https://github.com/rf2960/stardist-nuclear-segmentation/releases/download/viewer-v1/jiankang_stardist_nuclear_viewer.html
